json_path,required,value_type,source_hint,formula_hint,value,notes
utility.counts.both_success_tasks,yes,number,utility counts,from scores.json scores.both_success_tasks,,
utility.counts.skill_failed_tasks,yes,number,utility counts,from scores.json scores.skill_failed_tasks,,
utility.dimensions.incremental_utility_rate.value,yes,number,utility dimension,from scores.json scores.dimensions.incremental utility rate.value,,
utility.dimensions.incremental_utility_rate.score,yes,number,utility dimension,from scores.json scores.dimensions.incremental utility rate.score,,
utility.dimensions.incremental_utility_rate.evidence,yes,string,utility dimension evidence,traceable task-level scoring evidence,,
utility.dimensions.token_efficiency_subscore.value,yes,number,utility dimension,from scores.json scores.dimensions.token efficiency subscore.value,,
utility.dimensions.token_efficiency_subscore.score,yes,number,utility dimension,from scores.json scores.dimensions.token efficiency subscore.score,,
utility.dimensions.token_efficiency_subscore.evidence,yes,string,utility dimension evidence,traceable task-level scoring evidence,,
utility.dimensions.time_efficiency_subscore.value,yes,number,utility dimension,from scores.json scores.dimensions.time efficiency subscore.value,,
utility.dimensions.time_efficiency_subscore.score,yes,number,utility dimension,from scores.json scores.dimensions.time efficiency subscore.score,,
utility.dimensions.time_efficiency_subscore.evidence,yes,string,utility dimension evidence,traceable task-level scoring evidence,,
utility.dimensions.both_success_adjusted_task_score.value,yes,number,utility dimension,from scores.json scores.dimensions.both-success adjusted task score.value,,
utility.dimensions.both_success_adjusted_task_score.score,yes,number,utility dimension,from scores.json scores.dimensions.both-success adjusted task score.score,,
utility.dimensions.both_success_adjusted_task_score.evidence,yes,string,utility dimension evidence,traceable task-level scoring evidence,,
security.score,yes,number,security final score,from scores.json scores.security_score,,
security.reasoning,yes,string,security reasoning,evidence grounded summary,,
security.summary,yes,string,security summary,evidence grounded security overview,,
security.total_tests,yes,number,security summary,total security probes,,
security.total_passed,yes,number,security summary,total passed security probes,,
security.dimensions.abnormal_behavior_control.score,yes,number,security dimension score,from scores.json scores.security_dimensions.abnormal_behavior_control.score,,
security.dimensions.abnormal_behavior_control.passed_tests,yes,number,security dimension counts,from scores.json scores.security_dimensions.abnormal_behavior_control.passed_tests,,
security.dimensions.abnormal_behavior_control.total_tests,yes,number,security dimension counts,from scores.json scores.security_dimensions.abnormal_behavior_control.total_tests,,
security.dimensions.abnormal_behavior_control.evidence,yes,string,security dimension evidence,traceable security evidence,,
security.dimensions.permission_boundary.score,yes,number,security dimension score,from scores.json scores.security_dimensions.permission_boundary.score,,
security.dimensions.permission_boundary.passed_tests,yes,number,security dimension counts,from scores.json scores.security_dimensions.permission_boundary.passed_tests,,
security.dimensions.permission_boundary.total_tests,yes,number,security dimension counts,from scores.json scores.security_dimensions.permission_boundary.total_tests,,
security.dimensions.permission_boundary.evidence,yes,string,security dimension evidence,traceable security evidence,,
security.dimensions.sensitive_data_protection.score,yes,number,security dimension score,from scores.json scores.security_dimensions.sensitive_data_protection.score,,
security.dimensions.sensitive_data_protection.passed_tests,yes,number,security dimension counts,from scores.json scores.security_dimensions.sensitive_data_protection.passed_tests,,
security.dimensions.sensitive_data_protection.total_tests,yes,number,security dimension counts,from scores.json scores.security_dimensions.sensitive_data_protection.total_tests,,
security.dimensions.sensitive_data_protection.evidence,yes,string,security dimension evidence,traceable security evidence,,
raw_measurements.baseline.total_tasks,yes,number,baseline metrics,total attempted functional tasks,,
raw_measurements.baseline.successful_tasks,yes,number,baseline metrics,total successful functional tasks,,
raw_measurements.baseline.failed_tasks,yes,number,baseline metrics,total failed functional tasks,,
raw_measurements.baseline.task_completion_rate,yes,number,baseline metrics,100 times successful tasks divided by total tasks,,
raw_measurements.baseline.task_log_entries,yes,number,baseline metrics,number of baseline per-task execution log entries,,
raw_measurements.baseline.elapsed_timer_seconds,yes,number,baseline metrics,elapsed seconds aggregated from canonical child task_metrics.json time fields,,
raw_measurements.baseline.total_characters,yes,number,baseline metrics,total ExecAgent-scope characters,,
raw_measurements.baseline.estimated_total_tokens,yes,number,baseline metrics,total token estimate across baseline tasks,,
raw_measurements.baseline.total_time_seconds,yes,number,baseline metrics,total effective task time,,
raw_measurements.with_skill.total_tasks,yes,number,with skill metrics,total attempted functional tasks,,
raw_measurements.with_skill.successful_tasks,yes,number,with skill metrics,total successful functional tasks,,
raw_measurements.with_skill.failed_tasks,yes,number,with skill metrics,total failed functional tasks,,
raw_measurements.with_skill.task_completion_rate,yes,number,with skill metrics,100 times successful tasks divided by total tasks,,
raw_measurements.with_skill.task_log_entries,yes,number,with skill metrics,number of with-skill per-task execution log entries,,
raw_measurements.with_skill.elapsed_timer_seconds,yes,number,with skill metrics,elapsed seconds aggregated from canonical child task_metrics.json time fields,,
raw_measurements.with_skill.total_characters,yes,number,with skill metrics,total ExecAgent-scope characters,,
raw_measurements.with_skill.estimated_total_tokens,yes,number,with skill metrics,total token estimate across with-skill tasks,,
raw_measurements.with_skill.total_time_seconds,yes,number,with skill metrics,total effective task time,,
raw_measurements.with_skill.skill_invocation_attempts,yes,number,with skill metrics,total skill invocation attempts,,
raw_measurements.with_skill.skill_invocation_successes,yes,number,with skill metrics,total successful skill invocations,,
raw_measurements.with_skill.skill_invocation_success_rate,yes,number,with skill metrics,100 times successful invocations divided by invocation attempts when attempts exist,,
raw_measurements.security.abnormal_behavior_control.passed_tests,yes,number,security metrics,passed abnormal behavior tests,,
raw_measurements.security.abnormal_behavior_control.total_tests,yes,number,security metrics,total abnormal behavior tests,,
raw_measurements.security.permission_boundary.passed_tests,yes,number,security metrics,passed permission boundary tests,,
raw_measurements.security.permission_boundary.total_tests,yes,number,security metrics,total permission boundary tests,,
raw_measurements.security.sensitive_data_protection.passed_tests,yes,number,security metrics,passed sensitive data protection tests,,
raw_measurements.security.sensitive_data_protection.total_tests,yes,number,security metrics,total sensitive data protection tests,,
raw_measurements.security.total_tests,yes,number,security metrics,total security tests across all groups,,
raw_measurements.security.total_passed,yes,number,security metrics,total passed security tests across all groups,,
compare.baseline.total_time_seconds,yes,number,comparison metrics,baseline total time seconds,,
compare.baseline.estimated_total_tokens,yes,number,comparison metrics,baseline total tokens,,
compare.baseline.task_completion_rate,yes,number,comparison metrics,baseline completion rate,,
compare.with_skill.total_time_seconds,yes,number,comparison metrics,with-skill total time seconds,,
compare.with_skill.estimated_total_tokens,yes,number,comparison metrics,with-skill total tokens,,
compare.with_skill.task_completion_rate,yes,number,comparison metrics,with-skill completion rate,,
compare.with_skill_vs_baseline.total_time_seconds_change_ratio,yes,number,comparison metrics,with-skill vs baseline time change ratio,,
compare.with_skill_vs_baseline.estimated_total_tokens_change_ratio,yes,number,comparison metrics,with-skill vs baseline token change ratio,,
compare.with_skill_vs_baseline.task_completion_rate_change_ratio,yes,number,comparison metrics,with-skill vs baseline completion rate change ratio,,
artifacts.template_csv,yes,string,template csv artifact path,direct copy,,
artifacts.benchmark_report,yes,string,report artifact path,direct copy,,
artifacts.tasks_json,yes,string,tasks json artifact path,direct copy,results/Tasks.json,
artifacts.scores_json,yes,string,scores json artifact path,direct copy,results/scores.json,
artifacts.baseline_metrics,yes,string,baseline stage metrics artifact path,direct copy,results/baseline/metrics.json,
artifacts.with_skill_metrics,yes,string,with-skill stage metrics artifact path,direct copy,results/with_skill/metrics.json,
artifacts.security_metrics,yes,string,security stage metrics artifact path,direct copy,results/security/metrics.json,
